Data e Hora,Direção,Hex,ASCII,Nota
06:25:44.706,SOF_TO_EQP,08 00 02 00 00 00 00 00 0A 00,,
06:25:44.753,EQP_TO_SOF,08 06 01 00 00 00 0F 00,,
06:25:44.815,SOF_TO_EQP,08 00 03 00 01 00 00 00 10 00 1C 00,,AGUARDANDO MEDIÇÃO
06:25:44.855,EQP_TO_SOF,08 06 00 00 0E 00,,
06:25:45.380,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:45.422,EQP_TO_SOF,03 05 00 00 08 00,,
06:25:45.673,SOF_TO_EQP,0B 00 00 00 0B 00,,
06:25:45.714,EQP_TO_SOF,0B 06 02 00 00 00 00 00 13 00,,
06:25:45.943,SOF_TO_EQP,03 01 00 00 04 00,,
06:25:45.953,EQP_TO_SOF,03 06,,
06:25:46.007,EQP_TO_SOF,14 00 88 06 21 01 C0 FF BB 04 5F 07 1E 00 00 00 C4 09 4E 09 C5 27 09 00 00 00 04 FE 3E 09 D8 14 00 00 1D 19 7F AA 4D C3 AC 33 6B 0B,,
06:25:46.560,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:46.575,EQP_TO_SOF,03 06 14,,
06:25:46.639,EQP_TO_SOF,00 88 06 20 01 C0 FF BA 04 5E 07 1E 00 00 00 C4 09 4E 09 C8 27 62 00 00 00 04 FE 3E 09 D8 14 00 00 1D 19 7F AA 4D C3 AC 33 C4 0B,,
06:25:47.191,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:47.239,EQP_TO_SOF,03 06 14 00 88 06 1F 01 C2 FF B8 04 64 07 1E 00 00 00 C4 09 50 09 C8 27 09 00 00 00 15 FE 3F 09 EA 14,,
06:25:47.296,EQP_TO_SOF,00 00 B1 19 A5 A9 4D C3 4B 34 EF 0B,,
06:25:47.846,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:47.905,EQP_TO_SOF,03 06 14 00 88 06 21 01 C0 FF B4 04 83 07 1D 00 00 00 C4 09 51 09 CA 27 FA FF 00 00 22 FE 3F 09 00 15 00 00 47 1A A5 A9 4D C3 E3 34 4F,,
06:25:47.966,EQP_TO_SOF,0D,,
06:25:48.534,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:48.589,EQP_TO_SOF,03 06 14 00 88 06 20 01 C3 FF B1 04 95 07 1D 00 00 00 C4 09 53 09 C9 27 09 00 00 00 16 FE 40 09 12 15 00 00 47 1A C4 A8 4D,,
06:25:48.648,EQP_TO_SOF,C3 E3 34 96 0B,,
06:25:49.189,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:49.247,EQP_TO_SOF,03 06 14 00 88 06 22 01 C0 FF AE 04 AF 07 1D 00 00 00 C4 09 54 09 CA 27 FB FF 00 00 21 FE 41 09 27 15 00 00 D4 1A C4 A8 4D C3 7C,,
06:25:49.309,EQP_TO_SOF,35 E7 0D,,
06:25:49.885,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:49.940,EQP_TO_SOF,03 06 14 00 88 06 20 01 C3 FF AB 04 BE 07 1C 00 00 00 C4 09 56 09 CA 27 62 00 00 00 15 FE 42 09 39 15 00 00 D4 1A E2 A7 4D,,
06:25:50.003,EQP_TO_SOF,C3 7C 35 81 0C,,
06:25:50.613,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:50.666,EQP_TO_SOF,03 06 14 00 88 06 28 01 C3 FF AB 04 BE 07 1C 00 00 00 C4 09 56 09 CA 27 FB FF 00 00 2D FE 42 09 39 15 00 00 6A 1B,,
06:25:50.726,EQP_TO_SOF,E2 A7 4D C3 15 36 6A 0D,,
06:25:51.336,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:51.353,EQP_TO_SOF,03 06 14,,
06:25:51.411,EQP_TO_SOF,00 88 06 26 01 C5 FF A9 04 CA 07 1C 00 00 00 C4 09 57 09 CA 27 62 00 00 00 21 FE 44 09 4C 15 00 00 6A 1B FB A6 4D C3 15 36 FE 0B,,
06:25:51.961,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:51.994,EQP_TO_SOF,03 06 14 00 88 06 29 01 C7 FF A6 04 CA 07 1C 00 00 00 C4 09,,
06:25:52.052,EQP_TO_SOF,58 09 CA 27 07 00 00 00 2F FE 45 09 5E 15 00 00 FA 1B 0A A6 4D C3 B3 36 04 0C,,
06:25:52.630,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:52.687,EQP_TO_SOF,03 06 14 00 88 06 2C 01 C5 FF A3 04 CA 07 1C 00 00 00 C4 09 5A 09 CA 27 FB FF 00 00 39 FE 46 09 74 15 00 00 91 1C 0A A6 4D C3 4B,,
06:25:52.745,EQP_TO_SOF,37 49 0D,,
06:25:53.380,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:53.440,EQP_TO_SOF,03 06 14 00 88 06 2A 01 C7 FF A0 04 CA 07 1B 00 00 00 C4 09 5B 09 CA 27 07 00 00 00 2E FE 47 09 86 15 00 00 91 1C 1C A5 4D C3 4B,,
06:25:53.490,EQP_TO_SOF,37 6C 0B,,
06:25:54.109,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:54.164,EQP_TO_SOF,03 06 14 00 88 06 2A 01 C5 FF 9D 04 CA 07 1B 00 00 00 C4 09 5D 09 CA 27 FB FF 00 00 3A FE 48 09 9B 15 00 00 22 1D 1C A5 4D,,
06:25:54.230,EQP_TO_SOF,C3 E6 37 AB 0D,,
06:25:54.820,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:54.878,EQP_TO_SOF,03 06 14 00 88 06 28 01 C7 FF 9A 04 CA 07 1B 00 00 00 C4 09 5E 09 CA 27 61 00 00 00 2E FE 49 09 AD 15 00 00 22 1D 7B A6 4D C3 E6 37,,
06:25:54.934,EQP_TO_SOF,77 0C,,
06:25:55.506,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:55.564,EQP_TO_SOF,03 06 14 00 88 06 27 01 CC FF 98 04 CA 07 1B 00 00 00 C4 09 5F 09 CA 27 08 00 00 00 41 FE 4B 09 C0 15 00 00 BA 1D 19 A7 4D C3 89 38,,
06:25:55.616,EQP_TO_SOF,24 0C,,
06:25:56.181,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:56.237,EQP_TO_SOF,03 06 14 00 88 06 27 01 CC FF 98 04 CA 07 1B 00 00 00 C4 09 5F 09 CA 27 61 00 00 00 41 FE 4B 09 C0 15 00 00 BA 1D 19 A7 4D,,
06:25:56.294,EQP_TO_SOF,C3 89 38 7D 0C,,
06:25:56.907,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:56.967,EQP_TO_SOF,03 06 14 00 88 06 2A 01 D4 FF 94 04 CA 07 1B 00 00 00 C4 09 61 09 CA 27 08 00 00 00 53 FE 4D 09 D5 15 00 00 7C 1E F7 A5 4D C3 58 39 C5,,
06:25:57.026,EQP_TO_SOF,0C,,
06:25:57.654,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:57.704,EQP_TO_SOF,03 06 14 00 88 06 28 01 D3 FF 92 04 CA 07 1B 00 00 00 C4 09 61 09 CA 27 FD FF 00 00 70 FE 4E 09 E7 15 00 00,,
06:25:57.755,EQP_TO_SOF,99 1F F7 A5 4D C3 90 3A 3B 0F,,
06:25:58.303,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:58.365,EQP_TO_SOF,03 06 14 00 88 06 26 01 DE FF 8F 04 CA 07 1B 00 00 00 C4 09 63 09 CA 27 61 00 00 00 64 FE 4F 09 FA 15 00 00 99 1F 8F A1 4D C3 90 3A 44 0D,,
06:25:58.943,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:58.998,EQP_TO_SOF,03 06 14 00 88 06 1E 01 DD FF 8C 04 CA 07 1B 00 00 00 C4 09 64 09 CA 27 FD FF 00 00 8F FE 51 09 0C 16 00 00 49 21 8F A1 4D,,
06:25:59.060,EQP_TO_SOF,C3 84 3C BC 0D,,
06:25:59.656,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:25:59.716,EQP_TO_SOF,03 06 14 00 88 06 1D 01 EC FF 8A 04 CA 07 1B 00 00 00 C4 09 66 09 CA 27 61 00 00 00 85 FE 52 09 1B 16 00 00 49 21 C9 97 4D C3 84 3C 65,,
06:25:59.777,EQP_TO_SOF,0C,,
06:26:00.381,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:26:00.445,EQP_TO_SOF,03 06 14 00 89 04 19 01 14 00 87 04 CA 07 1A 00 00 00 C4 09 67 09 CA 27 0A 00 00 00 B3 FE 54 09 2D 16 00 00 66 20 D8 87 4D C3 8B 3F 96 0A,,
06:26:00.503,SOF_TO_EQP,08 00 02 00 00 00 00 00 0A 00,,
06:26:00.555,EQP_TO_SOF,08 06 01 00 50 00 5F 00,,
06:26:00.608,SOF_TO_EQP,08 00 03 00 01 00 00 00 40 00 4C 00,,
06:26:00.658,EQP_TO_SOF,08 06 00 00 0E 00,,
06:26:20.906,SOF_TO_EQP,03 00 02 00 00 00 40 CD 12 01,,
06:26:20.961,EQP_TO_SOF,03 06 14 00 88 00 9F 00 FE FF 03 00 BB 07 16 00 00 00 C4 09 78 09 C9 27 19 00 00 00 BD FF 72 09 B9 16 00 00 38 25 8C A7,,
06:26:21.017,EQP_TO_SOF,77 94 E0 3B 2F 0D,,
06:26:23.685,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
06:26:23.719,EQP_TO_SOF,04 06 0B 00 01 40 00 00 00 00 00 00 00 00 00 00 00 00 40 00 00 00 A0 80,,
06:26:23.774,EQP_TO_SOF,27 00 DD 01,,
06:26:23.856,SOF_TO_EQP,08 00 02 00 00 00 00 00 0A 00,,
06:26:23.880,EQP_TO_SOF,08 06 01 00 00 00 0F 00,,
06:26:23.921,SOF_TO_EQP,08 00 03 00 01 00 00 00 00 00 0C 00,,
06:26:23.995,EQP_TO_SOF,08 06 00 00 0E 00,,
06:26:24.552,SOF_TO_EQP,04 00 00 00 04 00,,AQUECIMENTO / AGUARDE
